source,title,url,publish_time,author,content,heat
央视网,探寻星辰大海“路线图”公布 中国航天逐梦苍穹未来可期,https://news.cctv.com/2024/10/30/ARTIEL1N337nWedJk8jh5hYI241030.shtml,2024-10-30 11:49:02,央视网,中国载人航天工程新闻发言人10月29日上午介绍神十八乘组在与神舟十九号航天员乘组完成在轨轮换后计划于11月4日返回东风着陆场他同时介绍了我国第四批航天员的选拔情况,15000.0
央视网,前8月台湾旅游人数及产值逆差均创历史新高 国台办：民进党当局应正视台湾旅游业者和基层民众关切,https://news.cctv.com/2024/10/30/ARTIUSglAawXUS1xbggfuqsb241030.shtml,2024-10-30 11:47:28,央视网,10月30日国务院台湾事务办公室举行例行新闻发布会发言人朱凤莲就近期两岸热点问题回答记者提问,15000.0
央视网,新特点+新任务 神舟十九号乘组“太空出差”“有点忙”,https://news.cctv.com/2024/10/30/ARTI7Sk8OztBYfHROOVDXCj0241030.shtml,2024-10-30 11:42:04,央视网,三名航天员对此次太空出差是信心满满他们在天上将会有什么新任务呢又带了哪些新装备我们继续来了解,15000.0
央视网,国台办：美国究竟是想“保台”还是“害台”，相信大部分台湾同胞已经作出理智判断,https://news.cctv.com/2024/10/30/ARTIuxnBnrbcvJkJlo9CcuV7241030.shtml,2024-10-30 11:40:17,央视网,10月30日国务院台湾事务办公室举行例行新闻发布会发言人朱凤莲就近期两岸热点问题回答记者提问,15000.0
央视网,辽宁葫芦岛受灾地区全力以赴重建家园 保障群众平稳有序温暖度冬,https://news.cctv.com/2024/10/30/ARTId2ecwESawquljTd52Bfz241030.shtml,2024-10-30 11:33:35,央视网,除了房屋受损今年8月份的连续强降雨还导致辽宁葫芦岛市多地的道路电力农业生产等出现不同程度的损毁这几天受灾地区的各项重建工作也在加紧建设中,15000.0
央视网,国家防总针对浙江启动防汛防台风四级应急响应,https://news.cctv.com/2024/10/30/ARTIyK46nIKESmIiQZ0zo7ju241030.shtml,2024-10-30 11:25:39,央视网,10月30日早晨今年第21号台风康妮加强为超强台风级预计将于31日中午在台湾岛东部沿海登陆48～55米每秒15～16级强台风级或超强台风级之后穿过台湾岛向浙闽一带沿海靠近受其影响10月30日至11月1日浙江东部将有强风雨过程,15000.0
央视网,通过增强现实技术一起了解交会对接过程 中国空间站上演“太空会师”,https://news.cctv.com/2024/10/30/ARTIhmAkB8EFkm6W8aRfyRGf241030.shtml,2024-10-30 11:19:02,央视网,神舟十九号载人飞船发射成功后10月30日上午任务进入到交会对接阶段交会对接就是神舟飞船与中国空间站进行对接将三名航天员送进我们的太空家园整个过程大约经历6个半小时,15000.0
央视网,宁夏六盘山：黄土高原上的“绿色明珠”,https://photo.cctv.com/2024/10/30/PHOABD4ylMLISraMbH38E84p241030.shtml,2024-10-30 11:17:06,央视网,10月29日游客在位于宁夏固原市的六盘山国家森林公园游览六盘山地处我国黄土高原西部是宁夏最大的天然林区也是西北地区重要的水源涵养林基地和生态屏障被称为黄土高原上的绿色明珠,15000.0
央视网,产业兴旺促增收 希望的田野上唱响“丰收民歌”,https://news.cctv.com/2024/10/30/ARTIpwWZavuiZlLvXSoBiMji241030.shtml,2024-10-30 11:16:15,央视网,在黑龙江省齐齐哈尔市的依安县当地种植的200多万亩玉米进入收获期农户们正抢抓晴好天气抓紧作业目前已收获超九成,15000.0
央视网,全过程精彩回顾 走进神舟十九号载人飞行任务纪实,https://news.cctv.com/2024/10/30/ARTInT81od3ZX7vNKZtZW0BO241030.shtml,2024-10-30 11:14:14,央视网,10月30日凌晨4时27分搭载神舟十九号载人飞船的长征二号F遥十九运载火箭在酒泉卫星发射中心成功发射蔡旭哲宋令东王浩泽三名航天员顺利进入太空航天员乘组状态良好发射取得圆满成功,15000.0
央视网,财政部：9月份全国共销售彩票514.84亿元 同比下降2.4%,https://news.cctv.com/2024/10/30/ARTIR1GiaOuiOrzddd4HlxVO241030.shtml,2024-10-30 11:06:15,央视网,9月份全国共销售彩票51484亿元1同比减少1290亿元下降24其中福利彩票机构销售17030亿元同比减少1183亿元下降65体育彩票机构销售34454亿元同比减少107亿元下降03主要是受去年同期彩票销量基数较高即开型彩票销量下降以及加大彩票促销活动管控等因素影响,15000.0
央视网,生态环境部公布第二十批生态环境执法典型案例,https://news.cctv.com/2024/10/30/ARTIRpr2urWNXby28Q69KM2R241030.shtml,2024-10-30 10:59:54,央视网,2024年10月30日生态环境部公布机动车排放检验领域第三方机构专项整治5个典型案例,15000.0
央视网,山东威海：传统工艺晾晒海盐 秋日盐田“盐值”拉满,https://photo.cctv.com/2024/10/30/PHOAbOsmKe5CLLnTv0cgyXBW241030.shtml,2024-10-30 10:59:41,央视网,2024年10月29日山东威海荣成市人和镇张蒙盐场盐场工人在收获晾晒好的海盐,15000.0
央视网,国台办：累计有近2500个大陆景区对台湾“首来族”游客推出促销活动,https://news.cctv.com/2024/10/30/ARTIewL4PnJpCUR0Otju9WE3241030.shtml,2024-10-30 10:50:39,央视网,10月30日国务院台湾事务办公室举行例行新闻发布会发言人朱凤莲就近期两岸热点问题回答记者提问,15000.0
央视网,台当局要求高中生签署“战时青年服勤同意书” 国台办回应,https://news.cctv.com/2024/10/30/ARTInkBptCe3hqCQlcsimZCQ241030.shtml,2024-10-30 10:50:36,央视网,10月30日国务院台湾事务办公室举行例行新闻发布会发言人朱凤莲就近期两岸热点问题回答记者提问,15000.0
央视网,国台办：赖清德当局妄图“以武谋独”，完全是蚍蜉撼树、不自量力,https://news.cctv.com/2024/10/30/ARTIHVD5f7QUTRYOmLEATQhl241030.shtml,2024-10-30 10:50:14,央视网,10月30日国务院台湾事务办公室举行例行新闻发布会发言人朱凤莲就近期两岸热点问题回答记者提问,15000.0
央视网,护航进博 “警”彩纷呈 15项便利措施让服务更有“温度”,https://news.cctv.com/2024/10/30/ARTIFowkmnLi75rIJFdlUYeG241030.shtml,2024-10-30 10:42:34,央视网,11月5日至10日第七届进博会将在上海举行上海警方围绕交通组织出入境服务馆内安全服务等方面推出了15项便利措施,15000.0
央视网,创新要有一股子闯劲和韧劲,https://news.cctv.com/2024/10/30/ARTIB99ODPvNaWmca95tVw5E241030.shtml,2024-10-30 10:38:16,央视网,不驰于空想不骛于虚声始终葆有一股子闯劲和韧劲跑好科技创新这场接力赛定能在不懈奋斗中将更多梦想化作现实,15000.0
央视网,倒计时100天！翘首以盼 共享亚冬会冰雪运动盛宴,https://news.cctv.com/2024/10/30/ARTInkWrRvypWdFy0XJ6Evdk241030.shtml,2024-10-30 10:37:29,央视网,2025年第九届亚洲冬季运动会将在哈尔滨举行10月30日是亚冬会开幕式倒计时100天国务院新闻办公室举行发布会亚冬会组委会相关负责人介绍了哈尔滨亚冬会筹办情况,15000.0
央视网,“数”说创业板开市十五周年“成绩单” 深市公司三季报整体业绩稳步向好,https://news.cctv.com/2024/10/30/ARTIqh1YDdmGHeR13wRDAC4q241030.shtml,2024-10-30 10:35:35,央视网,10月30日是深圳创业板开市15周年2009年的10月30日首批28家公司登陆创业板发展至今创业板上市公司数量已达1358家总市值超12万亿元,15000.0
央视网,国台办：体现一个中国原则的“九二共识”是两岸关系发展的定海神针,https://news.cctv.com/2024/10/30/ARTIEoqyJw4vAWgoNl5QTj6q241030.shtml,2024-10-30 10:35:27,央视网,10月30日国务院台湾事务办公室举行例行新闻发布会发言人朱凤莲就近期两岸热点问题回答记者提问,15000.0
央视网,广西桂林：绚烂晚霞扮靓乡村铁路,https://photo.cctv.com/2024/10/30/PHOAkX4zZRdxiPaIbq4uAOcQ241030.shtml,2024-10-30 10:33:57,央视网,2024年10月29日傍晚广西省桂林市全州县全州镇大新村铁道上空晚霞绚烂似火,15000.0
央视网,神舟十九号载人飞船发射取得圆满成功,https://photo.cctv.com/2024/10/30/PHOAPwhwjFnxdYR0fpyukLUQ241030.shtml,2024-10-30 10:33:34,央视网,2024年10月30日神舟十九号载人飞船发射取得圆满成功,15000.0
央视网,万亿冰雪产业“全面开花” “冷”资源为经济发展注入“热”活力,https://news.cctv.com/2024/10/30/ARTILf6LlUEqqaH1leNFbcyO241030.shtml,2024-10-30 10:33:12,央视网,近日召开的国务院常务会议提出要进一步扩大冰雪运动群众基础提升冰雪经济全产业链发展水平推动冰雪经济成为新的增长点,15000.0
央视网,50亿元！中央政府连续第三年在澳门发行人民币国债,https://news.cctv.com/2024/10/30/ARTIhdjldMOe0ewOTwHqYgaC241030.shtml,2024-10-30 10:25:05,央视网,财政部10月30日在澳门发行50亿元人民币国债这是中央政府连续第三年在澳门发行人民币国债有利于进一步完善常态化发行机制对持续优化澳门债券市场基础设施提高澳门债券市场影响力具有积极作用,15000.0
央视网,从今年前三季度外贸数据透视经济活力 长三角和粤港澳大湾区亮点频现,https://news.cctv.com/2024/10/30/ARTIcD5svnaceJWI9YtUHjPq241030.shtml,2024-10-30 10:22:26,央视网,今年以来长三角外贸持续跑出加速度最新数据显示今年前三季度长三角外贸进出口总值再创历史新高,15000.0
央视网,国家统计局：前三季度文化企业生产经营保持平稳增长,https://news.cctv.com/2024/10/30/ARTIJoFnlABhUHAZHrSv6Rnt241030.shtml,2024-10-30 10:20:50,央视网,据国家统计局网站消息国家统计局社科文司高级统计师张鹏解读2024年前三季度全国规模以上文化及相关产业企业数据表示前三季度文化企业生产经营保持平稳增长,15000.0
央视网,天舟八号将于11月中旬择机发射,https://news.cctv.com/2024/10/30/ARTI4q8pSx89HF3gW9iPzJDk241030.shtml,2024-10-30 10:14:31,央视网,中国载人航天工程新闻发言人10月29日在发布会上介绍目前天舟八号货运飞船已经进场正在开展总装测试工作将于11月中旬在文昌发射场择机发射,15000.0
